"Freq [GHz]","mag(St(feedline_T1,feedline_T1)) []","mag(St(feedline_T2,feedline_T1)) []"
1.60742857142857,0.0587153765513716,0.983628673372265
1.60757142857143,0.058853994575349,0.983618749792162
1.60771428571429,0.0589926336347626,0.983608803267242
1.60785714285714,0.0591312937137658,0.983598833779817
1.608,0.0592699747969723,0.983588841312131
1.60814285714286,0.0594086768694555,0.983578825846363
1.60828571428571,0.0595473999167445,0.983568787364622
1.60842857142857,0.0596861439248211,0.983558725848951
1.60857142857143,0.0598249088801181,0.983548641281326
1.60871428571429,0.0599636947695158,0.983538533643652
1.60885714285714,0.0601025015803403,0.983528402917766
1.609,0.0602413293003597,0.983518249085435
1.60914285714286,0.0603801779177834,0.983508072128358
1.60928571428571,0.0605190474212582,0.983497872028162
1.60942857142857,0.0606579377998668,0.983487648766402
1.60957142857143,0.0607968490431248,0.983477402324565
1.60971428571429,0.0609357811409792,0.983467132684063
1.60985714285714,0.0610747340838058,0.98345683982624
1.61,0.0612137078624065,0.983446523732362
1.61014285714286,0.0613527024680088,0.983436184383626
1.61028571428571,0.0614917178922617,0.983425821761155
1.61042857142857,0.0616307541272338,0.983415435845996
1.61057142857143,0.0617698111654143,0.983405026619124
1.61071428571429,0.0619088889997069,0.983394594061438
1.61085714285714,0.0620479876234303,0.983384138153761
1.611,0.0621871070303164,0.98337365887684
1.61114285714286,0.0623262472145072,0.983363156211349
1.61128571428571,0.0624654081705539,0.98335263013788
1.61142857142857,0.0626045898934153,0.983342080636951
1.61157142857143,0.0627437923784545,0.983331507689003
1.61171428571429,0.0628830156214404,0.983320911274395
1.61185714285714,0.0630222596185425,0.983310291373411
1.612,0.0631615243663312,0.983299647966252
1.61214285714286,0.0633008098617768,0.983288981033043
1.61228571428571,0.0634401161022469,0.983278290553828
1.61242857142857,0.063579443085504,0.983267576508567
1.61257142857143,0.0637187908097065,0.983256838877141
1.61271428571429,0.0638581592734055,0.98324607763935
1.61285714285714,0.0639975484755445,0.983235292774911
1.613,0.0641369584154566,0.983224484263456
1.61314285714286,0.0642763890928643,0.983213652084536
1.61328571428571,0.0644158405078784,0.983202796217618
1.61342857142857,0.0645553126609964,0.983191916642083
1.61357142857143,0.0646948055531007,0.983181013337228
1.61371428571429,0.0648343191854586,0.983170086282265
1.61385714285714,0.0649738535597204,0.983159135456318
1.614,0.0651134086779185,0.983148160838425
1.61414285714286,0.0652529845424656,0.983137162407539
1.61428571428571,0.0653925811561556,0.983126140142522
1.61442857142857,0.0655321985221608,0.983115094022149
1.61457142857143,0.0656718366440307,0.983104024025107
1.61471428571429,0.0658114955256933,0.983092930129992
1.61485714285714,0.0659511751714519,0.98308181231531
1.615,0.0660908755859848,0.983070670559477
1.61514285714286,0.0662305967743451,0.983059504840818
1.61528571428571,0.0663703387419601,0.983048315137567
1.61542857142857,0.0665101014946282,0.983037101427862
1.61557142857143,0.0666498850385213,0.983025863689752
1.61571428571429,0.0667896893801819,0.98301460190119
1.61585714285714,0.0669295145265242,0.983003316040036
1.616,0.0670693604848301,0.982992006084055
1.61614285714286,0.0672092272627531,0.982980672010916
1.61628571428571,0.0673491148683142,0.982969313798192
1.61642857142857,0.0674890233099022,0.98295793142336
1.61657142857143,0.0676289525962744,0.982946524863799
1.61671428571429,0.0677689027365542,0.98293509409679
1.61685714285714,0.0679088737402318,0.982923639099517
1.617,0.0680488656171632,0.982912159849062
1.61714285714286,0.0681888783775704,0.982900656322411
1.61728571428571,0.0683289120320404,0.982889128496445
1.61742857142857,0.0684689665915243,0.982877576347947
1.61757142857143,0.0686090420673382,0.982865999853598
1.61771428571429,0.0687491384711621,0.982854398989975
1.61785714285714,0.0688892558150394,0.982842773733552
1.618,0.069029394111377,0.982831124060701
1.61814285714286,0.0691695533729451,0.982819449947688
1.61828571428571,0.0693097336128765,0.982807751370676
