wait_time,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
1200,12.191,0.06644144144144144,0.011824324324324325,1776,118,21,7.132439374923706
7000,12.197,0.0,0.008859357696566999,1806,0,16,30.347530841827393
1700,12.199,0.029088913282107574,0.009330406147091108,1822,53,17,9.170706272125244
400,12.195,0.15821256038647344,0.004830917874396135,1656,262,8,3.888448715209961
300,12.196,0.1817625458996328,0.009791921664626682,1634,297,16,3.524322748184204
50000,12.199,0.0,0.013974287311347122,1789,0,25,202.27645993232727
5000,12.199,0.0,0.008879023307436182,1802,0,16,22.297876596450806
1400,12.196,0.05486425339366516,0.010180995475113122,1768,97,18,7.9072182178497314
1400,12.199,0.0623964660408614,0.008282716731087797,1811,113,15,7.891470670700073
2400,12.193,0.01989247311827957,0.008602150537634409,1860,37,16,12.000812292098999
3600,12.199,0.006027397260273973,0.010958904109589041,1825,11,20,16.77998375892639
1000,12.199,0.09029345372460497,0.010158013544018058,1772,160,18,6.360247373580933
3200,12.196,0.004181913225300575,0.01150026136957658,1913,8,22,15.1730477809906
4000,12.196,0.0021141649048625794,0.007928118393234672,1892,4,15,18.38970923423767
1200,12.199,0.07844243792325056,0.007900677200902935,1772,139,14,7.13638162612915
1600,12.199,0.048554282596835786,0.011456628477905073,1833,89,21,8.734267473220825
7000,12.193,0.0005271481286241434,0.012124406958355299,1897,1,23,30.400922060012817
1500,12.195,0.05274725274725275,0.011538461538461539,1820,96,21,8.321288585662842
1500,12.195,0.05113336847654191,0.010015814443858724,1897,97,19,8.36348032951355
2400,12.193,0.0196078431372549,0.014161220043572984,1836,36,26,11.924213886260986
7000,12.197,0.0022896393817973667,0.008586147681740127,1747,4,15,30.3081374168396
35000,12.196,0.0016411378555798686,0.010940919037199124,1828,3,20,142.3304557800293
700,12.19,0.12243702401874634,0.011130638547158758,1707,209,19,5.079851865768433
400,12.197,0.14517133956386294,0.012461059190031152,1605,233,20,3.88051176071167
1300,12.196,0.06453392167677882,0.011031439602868174,1813,117,20,7.5955541133880615
1800,12.194,0.03253796095444685,0.009761388286334056,1844,60,18,9.570752143859863
35000,12.196,0.0016778523489932886,0.013422818791946308,1788,3,24,142.23500728607178
1400,12.196,0.06866197183098592,0.01056338028169014,1704,117,18,7.96167778968811
1800,12.197,0.03904071388733965,0.008923591745677636,1793,70,16,9.52983808517456
2800,12.194,0.011242270938729624,0.011804384485666104,1779,20,21,13.50425386428833
3200,12.198,0.004555808656036446,0.015375854214123007,1756,8,27,15.115614175796509
7000,12.196,0.0011299435028248588,0.010169491525423728,1770,2,18,30.284987926483154
1600,12.197,0.04472477064220184,0.012041284403669725,1744,78,21,8.789384126663208
600,12.192,0.12845138055222088,0.00900360144057623,1666,214,15,4.762118101119995
35000,12.196,0.0005662514156285391,0.010192525481313703,1766,1,18,142.260511636734
4400,12.194,0.0017162471395881006,0.010869565217391304,1748,3,19,19.90989398956299
1100,12.197,0.0824014125956445,0.011771630370806356,1699,140,20,6.7448742389678955
800,12.194,0.10183066361556065,0.014302059496567507,1748,178,25,5.549453496932983
2800,12.2,0.01410743353228432,0.008138903960933261,1843,26,15,13.494164943695068
0,12.197,0.17857142857142858,0.0,1148,205,0,2.3767902851104736
3200,12.193,0.008094981111710739,0.0059363194819212085,1853,15,11,15.16064977645874
600,12.197,0.12382075471698113,0.01061320754716981,1696,210,18,4.691644668579102
100,12.2,0.1880794701986755,0.010596026490066225,1510,284,16,2.702613115310669
2800,12.2,0.0070498915401301515,0.005422993492407809,1844,13,10,13.55329942703247
2400,12.2,0.015855658829961726,0.01038819026790596,1829,29,19,11.960058689117432
3200,12.2,0.010471204188481676,0.008376963350785341,1910,20,16,15.15425705909729
900,12.2,0.10229088971763452,0.013851891315929675,1877,192,26,5.949979066848755
1900,12.2,0.033421750663129975,0.015384615384615385,1885,63,29,9.98359227180481
600,12.201,0.14507772020725387,0.008635578583765112,1737,252,15,4.714406490325928
12000,12.197,0.0015682174594877157,0.009932043910088865,1913,3,19,50.2774555683136
7000,12.197,0.001084010840108401,0.011382113821138212,1845,2,21,30.32123303413391
1800,12.193,0.03920454545454546,0.010227272727272727,1760,69,18,9.515470504760742
700,12.196,0.11117578579743888,0.010477299185098952,1718,191,18,5.091914176940918
4800,12.196,0.0011448196908986834,0.009158557527189467,1747,2,16,21.55880308151245
1300,12.197,0.06726457399103139,0.014573991031390135,1784,120,26,7.533616065979004
4400,12.195,0.0015965939329430547,0.012240553485896753,1879,3,23,19.960214853286743
600,12.197,0.13187463039621525,0.010053222945002957,1691,223,17,4.725460529327393
2000,12.196,0.03179824561403509,0.009868421052631578,1824,58,18,10.357895851135254
1500,12.197,0.05024576734025123,0.012015292190060076,1831,92,22,8.311184883117676
400,12.197,0.14143775569842199,0.012857977790765635,1711,242,22,3.9620361328125
