Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,lost_signal,trapped_signal,time_cost
0.0977443609,0.0105263158,-0.098997494,5.140595280933532e-05,0.0004626535752840179,19453,9,1,7.455281496047974
0.0270676692,-0.072807018,0.077443609,0.02328048564861201,0.012023339423586963,16967,204,395,6.924046277999878
-0.154887218,-0.148245614,-0.059899749,0.018773871949245808,0.012494335469670487,15447,193,290,6.489878416061401
-0.332330827,-0.078947368,0.0458646617,0.005928853754940711,0.001054018445322793,15180,16,90,6.353817939758301
0.0721804511,-0.079824561,-0.011278195,0.0037569324348500207,0.0035780308903333533,16769,60,63,6.579890012741089
-0.114285714,-0.030701754,0.0177944862,0.09590445744616684,0.00862536944327161,16579,143,1590,7.084300518035889
0.1203007519,0.1447368421,-0.020300752,0.0,0.0005607581450120563,17833,10,0,6.790732145309448
0.1939849624,-0.044736842,-0.048370927,5.428292259255238e-05,0.0004885463033329714,18422,9,1,7.120528697967529
-0.189473684,-0.003508772,0.0187969925,0.08655104712041885,0.004526614310645724,18336,83,1587,7.461455583572388
0.1443609023,-0.114035088,0.0824561404,0.00016798252981689904,0.0014558485917464583,17859,26,3,7.021655559539795
-0.109774436,0.1412280702,-0.043859649,0.07103660375082917,0.013145992884279081,16583,218,1178,6.973713159561157
-0.27518797,0.1763157895,-0.008270677,0.05093389430738828,0.0010836998788806018,15687,17,799,6.669030427932739
-0.138345865,-0.053508772,-0.012280702,0.0758089928493516,0.010180584171615562,16502,168,1251,6.976189851760864
0.1669172932,-0.021052632,-0.024310777,0.0,0.0007219471947194719,19392,14,0,7.342428207397461
0.1804511278,0.1622807018,0.0749373434,5.327082889409759e-05,0.0004261666311527807,18772,8,1,7.046734094619751
-0.021052632,0.0833333333,0.0553884712,0.07018633540372671,0.01908526256352343,17710,338,1243,7.401412010192871
-0.281203008,-0.074561404,-0.026315789,0.028718752039684093,0.0011748580379870766,15321,18,440,6.436837196350098
0.0120300752,0.0438596491,0.0478696742,0.05675675675675676,0.016666666666666666,17760,296,1008,7.255631685256958
-0.320300752,0.0570175439,-0.08245614,0.015588876411916242,0.0017174185877534844,15139,26,236,6.364035606384277
-0.393984962,0.0157894737,-0.04085213,0.013223050552320835,0.0014692278391467595,18377,27,243,7.121256589889526
-0.248120301,-0.028070175,-0.025313283,0.043871523504799406,0.0028919517597834113,16252,47,713,6.8207480907440186
-0.221052632,0.0429824561,-0.016290727,0.06369001796253529,0.0033872209391839878,19485,66,1241,7.819053649902344
-0.378947368,-0.139473684,0.0012531328,0.0,0.0006572461386789353,15215,10,0,6.3832128047943115
-0.151879699,0.1421052632,0.0649122807,0.07117614577581446,0.01838763114301491,18110,333,1289,7.415948152542114
-0.387969925,0.1640350877,0.013283208,0.019184795601243126,0.0011355486492947646,16732,19,321,6.644582986831665
0.0676691729,0.1324561404,-0.007769424,0.008780745834435335,0.008145993123512298,18905,154,166,7.260169744491577
0.0842105263,0.0842105263,0.0343358396,0.014723267060720044,0.011499193981730252,18610,214,274,7.338333368301392
