Ex,Ey,Ez,U2,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.223071422,-0.052530026,0.0093688177,-0.1,0.02128227960819234,0.001157613535173642,11230,239,13,6.75879430770874
-0.075888585,-0.098678646,-0.043226753,-0.1,0.0182381280110117,0.00258086717136958,11624,212,30,6.606451749801636
-0.067203082,-0.015526021,0.0380194163,-0.1,0.05669557859107256,0.002044989775051125,14181,804,29,6.799650192260742
-0.15030987,0.1875944244,-0.075148133,-0.3,0.0027089783281733747,0.0003869969040247678,7752,21,3,6.679133176803589
-0.005411803,0.0776438295,-0.060349567,-0.18,0.07372505543237251,0.014966740576496674,12628,931,189,6.881859540939331
-0.028014518,0.008812535,0.0704213117,-0.18,0.0682577233509602,0.009254105204564432,14372,981,133,6.808778762817383
0.0498930606,0.1920669077,-0.076355772,-0.1,0.003959683225341973,0.0021598272138228943,11112,44,24,6.69728946685791
-0.169254362,0.1974503409,0.0284830047,-0.1,0.04810546533961935,0.0016588091496420464,11454,551,19,6.680583953857422
-0.050576007,0.0950394663,0.0650544085,-0.13,0.10081616789739603,0.012514574426739216,12865,1297,161,6.8691794872283936
-0.201812951,-0.020926324,0.0626011454,-0.3,0.06204495093383982,0.0011607048644085682,9477,588,11,6.714475393295288
-0.342345391,-0.021210966,0.0485777643,-0.1,0.007477604205226919,0.0013326423336047974,13507,101,18,6.75963282585144
-0.105952592,-0.0756472,0.0560955111,-0.3,0.00102995451034246,0.0008582954252853832,11651,12,10,6.705899000167847
-0.290932448,-0.0138296,0.0097919619,-0.1,0.015505890505890506,0.0009528759528759529,11544,179,11,6.800352334976196
-0.084605442,0.1633524736,0.0627800014,-0.3,0.00065359477124183,0.0007469654528478057,10710,7,8,6.7085700035095215
-0.139641949,0.1828966906,0.0115134709,-0.13,0.07535569998243456,0.004479184963990866,11386,858,51,6.804710626602173
-0.063313921,0.1909372102,0.0414941593,-0.3,0.0,0.000297059114763838,10099,0,3,6.787696838378906
-0.14104894,0.0138944342,-0.04152113,-0.1,0.014768100902051568,0.00199568931108805,12527,185,25,6.743696928024292
-0.121638949,0.0540575942,-0.061483734,-0.18,0.1046012500941336,0.008584983809021764,13279,1389,114,6.763922452926636
-0.106744639,-0.052226565,-0.077442803,-0.13,0.021243115656963022,0.0035842293906810036,11439,243,41,6.602850437164307
0.0437776113,0.1516319667,0.0131247752,-0.3,0.0,0.00036075036075036075,11088,0,4,6.684618234634399
-0.043970469,0.1243274298,0.0699067435,-0.18,0.07386532186294868,0.012681696825867695,13484,996,171,6.825193643569946
0.0107420336,0.0002609279,0.0345589044,-0.3,0.002389843166542196,0.005078416728902166,13390,32,68,6.725727796554565
-0.304862543,-0.085598459,-0.022107955,-0.1,0.013431833445265278,0.0017269500143912502,10423,140,18,6.727023601531982
-0.324477926,-0.063551947,-0.028560886,-0.18,0.02113113735239279,0.0004439314569830418,11263,238,5,6.738362550735474
0.0379701137,0.1099974161,-0.039088178,-0.3,0.0,0.00018717828731867103,10685,0,2,6.693066358566284
-0.110138878,0.126663048,-0.065051895,-0.3,0.013245809401008089,0.0030477083577540734,8531,113,26,6.718567371368408
0.0315288234,0.0056688138,0.0456595095,-0.24,0.0354784319235633,0.008641281438808487,14234,505,123,6.725843906402588
-0.201919238,0.1502291351,-0.034463879,-0.24,0.038248274301233454,0.0011316057485572027,8837,338,10,6.763767957687378
-0.244656976,-0.024840785,-0.046597741,-0.13,0.019325011558021268,0.0006472491909385113,10815,209,7,6.70225977897644
-0.117298569,0.064816519,-0.045499894,-0.18,0.12100701609574907,0.010730499380932727,12115,1466,130,6.861340045928955
0.0025613947,-0.018294549,-0.035598135,-0.13,0.06367271608735774,0.008612734543217471,13004,828,112,6.807913541793823
0.0133805536,-0.049611843,-0.025422481,-0.1,0.034168157423971376,0.0033094812164579605,11180,382,37,6.767114639282227
-0.217316026,-0.025203399,0.0205038675,-0.18,0.12013337256055703,0.0022555653623614787,10197,1225,23,6.8030126094818115
-0.073810533,-0.09702478,0.0317461209,-0.24,0.023529411764705882,0.009747899159663866,11900,280,116,6.761901140213013
-0.26695041,0.0907300815,-0.033637884,-0.1,0.020145778497671595,0.0021259364243774045,9878,199,21,6.6690497398376465
0.040378111,0.0174602548,-0.029417605,-0.24,0.027481542247744052,0.00992616899097621,12190,335,121,6.838639259338379
