Ex,Ey,Ez,mesh_voltage,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.158601741,-0.070174912,-0.018160666,80,0.05451041571074608,0.0007341470129393411,10897,594,8,6.667695760726929
-0.049523509,0.0125510491,-0.022349728,80,0.08710023964961573,0.003140236344103793,12101,1054,38,6.76104998588562
-0.10201084,0.0710661847,-0.017814135,80,0.10045112781954887,0.002807017543859649,9975,1002,28,6.6857874393463135
-0.231939589,0.1930347233,0.0771748928,80,0.00022182786157941438,0.0012200532386867791,9016,2,11,6.6040613651275635
0.0378537213,0.1649963937,0.0448704031,80,0.019504132231404958,0.0036363636363636364,9075,177,33,6.640336036682129
-0.03679431,-0.088503058,-0.077817474,80,0.02458110845148223,0.0061682931320198855,10862,267,67,6.578255653381348
-0.136347821,0.1762463161,-0.05332305,80,0.02218898030416355,0.0007479431563201197,8022,178,6,6.671252489089966
-0.165721467,-0.034074079,0.0702151748,80,0.017661739297369937,0.001919754271453254,10418,184,20,6.62746000289917
-0.187884201,0.0884483287,-0.024568128,80,0.032360797205670845,0.0007191288267926854,9734,315,7,6.639566659927368
-0.304458759,0.072365335,0.0777876257,80,0.0013276434329065909,0.0006638217164532954,10545,14,7,6.625098705291748
-0.26363871,-0.054635474,-0.043902076,80,0.01408159039138538,0.0017601987989231726,9658,136,17,6.647510290145874
-0.237095954,0.0375834526,-0.041248031,80,0.022178667216835157,0.0014441922838869404,9694,215,14,6.672948122024536
-0.167101189,-0.064686749,-0.07876149,80,0.01920768307322929,0.0019644221324893593,9163,176,18,6.635161638259888
-0.129236026,-0.053771034,0.0630609218,80,0.045891650004760545,0.0028563267637817767,10503,482,30,6.686809062957764
-0.013589389,0.12300617,0.0399213391,80,0.055472901168969184,0.0036131774707757703,9410,522,34,6.718317031860352
-0.082170194,-0.061366484,0.0284500105,80,0.12131180223285487,0.004685007974481658,10032,1217,47,6.756126880645752
-0.148744503,0.1694337637,-0.011811985,80,0.02349869451697128,0.0008307619273676715,8426,198,7,6.651837110519409
-0.194683478,0.0210271223,-0.014980864,80,0.03072812291249165,0.00250501002004008,11976,368,30,6.633696556091309
-0.283805131,-0.049145567,0.0238961263,80,0.008912108174554395,0.001024380249948781,9762,87,10,6.641135215759277
-0.27238445,-0.07278505,0.000581025,80,0.008162472062967642,0.0007773782917112039,10291,84,8,6.642478704452515
-0.042942332,0.0257981455,0.0411833383,80,0.1237936772046589,0.007071547420965058,12020,1488,85,6.8297107219696045
0.0060551983,0.1949368008,-0.077488926,80,0.014748887476160204,0.004322949777495232,7865,116,34,6.657659530639648
-0.339772221,-0.048083725,-0.074504975,80,0.0036261551058603347,0.0003509182360510001,8549,31,3,6.631355047225952
-0.212896123,0.1871475565,0.0034024447,80,0.012279163012153866,0.0003758927452700163,7981,98,3,6.55580472946167
-0.250974771,0.1964337428,-0.006587361,80,0.0067618332081141996,0.0011269722013523666,7986,54,9,6.634992837905884
-0.279158682,0.1090122398,-0.065771078,80,0.01268585459009685,0.0019096985404446869,7331,93,14,6.582336664199829
0.0290813707,0.0223935139,-0.049721224,80,0.055329817584507654,0.004495547678741246,11567,640,52,6.614768028259277
-0.23093119,0.0500436267,-0.004135335,80,0.03368915875036725,0.0007834688081480756,10211,344,8,6.735992670059204
-0.251534103,-0.023086006,-0.05007424,80,0.020995670995670995,0.0011904761904761906,9240,194,11,6.655259370803833
-0.267181988,0.0524478335,-0.073480468,80,0.016933317762466427,0.0008174705126707929,8563,145,7,6.669439792633057
-0.339294438,0.1716883028,0.079875334,80,0.0,0.0008039508441483864,8707,0,7,6.611306667327881
-0.058912114,0.1030757342,-0.078512985,80,0.03433632613443339,0.0026692550351856345,8242,283,22,6.683986663818359
-0.325560452,-0.077984841,-0.015932672,80,0.0026382439848037145,0.001055297593921486,9476,25,10,6.662752628326416
-0.092925678,0.1975063349,0.0555496476,80,0.021846192701098624,0.0011365071347392347,7919,173,9,6.6873619556427
-0.243167211,0.1112898863,0.0346313227,80,0.0122537241710716,0.0014416146083613647,8324,102,12,6.615346431732178
0.0447056921,0.0290511913,-0.079957956,80,0.030102724430549354,0.002858418937025458,11195,337,32,6.648609638214111
0.0388350986,-0.089568248,-0.010989705,80,0.07622822379942852,0.015300949396257719,10849,827,166,6.757084608078003
-0.08633111,0.0284751618,0.0194106047,80,0.133156548915617,0.0030305900179941284,10559,1406,32,6.792037010192871
-0.069237654,0.1805933875,-0.008275487,80,0.034765875561257216,0.0030788967286722257,7795,271,24,6.680569410324097
-0.048860266,0.1626142144,0.0763638058,80,0.015800370491446006,0.004576659038901602,9177,145,42,6.735664367675781
0.0428777256,0.1845845126,-0.021671539,80,0.016914138153647514,0.004906391220142027,7745,131,38,6.730502128601074
-0.097879315,0.0966775995,-0.032645275,80,0.06724890829694323,0.002074235807860262,9160,616,19,6.6280198097229
0.0030292349,-0.07264312,-0.070514026,80,0.02680798004987531,0.00596722479515497,11228,301,67,6.7085583209991455
-0.345426779,-0.007961291,0.0753672592,80,0.0013926283539132858,0.0005570513415653143,10771,15,6,6.682118654251099
-0.20804805,0.0854116201,0.0392845586,80,0.02629118953026408,0.0017527459686842721,8558,225,15,6.62761116027832
