RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
2,113,0.12384511574794975,0.002076196408180214,9633,1193,20,5.183256387710571,11.148
3,60,0.15427548441449032,0.002527379949452401,9496,1465,24,5.174822807312012,11.603
3,114,0.15177915398341554,0.0012595780413561456,9527,1446,12,5.1710944175720215,11.595
3,104,0.17709346299297676,0.00226904376012966,9255,1639,21,5.172560691833496,11.595
2,118,0.14046444718454582,0.0014385532264693795,9732,1367,14,5.0859527587890625,11.154
4,93,0.1972576117469229,0.0022673288706542864,9262,1827,21,5.172826290130615,11.969
4,107,0.18121326383497838,0.0034379505378729068,9017,1634,31,5.3351664543151855,11.955
4,32,0.1619217081850534,0.0026690391459074734,8992,1456,24,5.257770538330078,11.952
4,87,0.14937072201368956,0.011481563258997572,9058,1353,104,5.131088733673096,11.952
3,45,0.1640873436506254,0.0022259910960356157,9434,1548,21,5.334766864776611,11.589
4,23,0.2107699254910815,0.002483630616391962,8858,1867,22,5.195435285568237,11.959
4,6,0.2082824469856778,0.0016653713778172533,9007,1876,15,5.278986215591431,11.955
3,35,0.15358141535814154,0.002581200258120026,9298,1428,24,5.253544569015503,11.587
4,8,0.20523368757856245,0.0026282710547366017,8751,1796,23,5.209619522094727,11.959
2,3,0.1566035740721159,0.0017976102358041662,9457,1481,17,5.210420370101929,11.141
2,116,0.13962264150943396,0.002410901467505241,9540,1332,23,5.334286451339722,11.155
4,27,0.18785433929350195,0.002725686873092019,9172,1723,25,5.188735485076904,11.97
3,83,0.1328484329874853,0.003957642528612686,9349,1242,37,5.1213538646698,11.593
4,10,0.19904688019505706,0.0017732461487310208,9023,1796,16,5.232814788818359,11.962
3,1,0.17759708997539317,0.001283834385364288,9347,1660,12,5.213406562805176,11.585
4,38,0.18375411635565314,0.0030735455543358945,9110,1674,28,5.13633131980896,11.962
4,5,0.19811729062973382,0.0018394286950876434,9242,1831,17,5.182485342025757,11.953
4,71,0.0825041922861934,0.010732252655114589,8945,738,96,5.157469987869263,11.953
3,8,0.18361006963042314,0.0017139796464916979,9335,1714,16,5.156580448150635,11.586
2,75,0.13769182257725457,0.001471515661130965,9514,1310,14,5.166480779647827,11.146
4,52,0.20314458243135466,0.0021647487752079297,8777,1783,19,5.216318845748901,11.961
2,30,0.14448188711036225,0.002422072451558551,9496,1372,23,5.24277663230896,11.141
2,84,0.1404123711340206,0.0008247422680412372,9700,1362,8,5.2257771492004395,11.156
4,59,0.18949720670391063,0.001899441340782123,8950,1696,17,5.184553861618042,11.962
2,108,0.14036195286195285,0.0015782828282828283,9504,1334,15,5.168449640274048,11.148
4,51,0.19937520919335044,0.002342965524935847,8963,1787,21,5.259653091430664,11.962
3,100,0.10513816925734024,0.00885146804835924,9264,974,82,5.198267698287964,11.593
3,14,0.1855784118557841,0.0016589250165892503,9042,1678,15,5.159228801727295,11.59
3,65,0.132213608957795,0.002583979328165375,9288,1228,24,5.139781713485718,11.591
4,70,0.019217951566318597,0.017996000888691403,9002,173,162,5.066370725631714,11.96
2,45,0.14211530309453158,0.002437473505722764,9436,1341,23,5.160486698150635,11.145
4,92,0.20122783083219645,0.002273760800363802,8796,1770,20,5.362617492675781,11.962
2,66,0.13213340391741663,0.0022233986236103757,9445,1248,21,5.169833421707153,11.147
4,29,0.17801805818749303,0.0025638167428380337,8971,1597,23,5.14596152305603,11.964
2,86,0.1518542199488491,0.0017050298380221654,9384,1425,16,5.2469494342803955,11.164
3,67,0.11541821358375191,0.008298755186721992,9158,1057,76,5.185717821121216,11.618
2,71,0.15120093111840016,0.0010580890911014707,9451,1429,10,5.170273303985596,11.172
3,40,0.17228786251342643,0.0017185821697099893,9310,1604,16,5.114006042480469,11.62
2,13,0.14344262295081966,0.001127049180327869,9760,1400,11,5.125271558761597,11.175
