U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
-0.14,118,0.1818001586042823,0.0035685963521015066,10088,1834,36,5.439402103424072,11.982
-0.18,93,0.18862308455517585,0.0014331385734759122,9071,1711,13,5.396512269973755,11.982
-0.18,107,0.18524608133289489,0.0023018743834265043,9123,1690,21,5.293125629425049,11.982
-0.18,32,0.15561584373304396,0.005317417254476397,9215,1434,49,5.328795909881592,11.979
-0.18,87,0.1549131723845828,0.006459127488352393,9444,1463,61,5.295534372329712,11.982
-0.16,45,0.1836469824789098,0.0030283365779796667,9246,1698,28,5.39185094833374,11.982
-0.18,23,0.1918918918918919,0.0018378378378378379,9250,1775,17,5.317058086395264,11.979
-0.18,6,0.19168640964893388,0.0025845358604350637,9286,1780,24,5.288752794265747,11.982
-0.16,35,0.17803317792475334,0.0045538328092811445,9223,1642,42,5.450911283493042,11.979
-0.18,8,0.19244405052071792,0.0028805672501661865,9026,1737,26,5.431881666183472,11.982
-0.14,3,0.17838849487785657,0.001970055161544523,10152,1811,20,5.496433973312378,11.979
-0.14,116,0.16548131824100973,0.0046078333166382855,9983,1652,46,5.57460880279541,11.975
-0.18,27,0.1890929326655537,0.0022259321090706734,8985,1699,20,5.336988925933838,11.98
-0.16,83,0.17713204186150078,0.00779336450679136,8982,1591,70,5.477121829986572,11.979
-0.18,10,0.19555164060779565,0.0030830213609337152,9082,1776,28,5.418659210205078,11.978
-0.16,1,0.20279017857142856,0.002232142857142857,8960,1817,20,5.362838506698608,11.984
-0.18,38,0.17157349211599957,0.0019847833278200462,9069,1556,18,5.425126075744629,11.979
-0.18,5,0.1850079744816587,0.003645477329687856,8778,1624,32,5.292471408843994,11.978
-0.18,71,0.1486194750596523,0.008976252698556982,8801,1308,79,5.264942169189453,11.978
-0.16,8,0.19768734712030242,0.00333555703802535,8994,1778,30,5.369863271713257,11.975
-0.14,75,0.14934069303894512,0.01134621281815394,9783,1461,111,5.448245286941528,11.978
-0.18,52,0.1866460996033495,0.0022036139268400176,9076,1694,20,5.371492147445679,11.978
-0.14,30,0.14778823767587812,0.0060734892195566355,9879,1460,60,5.352766513824463,11.978
-0.14,84,0.1541050484446711,0.011320754716981131,9805,1511,111,5.366722822189331,11.975
-0.18,59,0.18035534696614147,0.0027936082243826127,8949,1614,25,5.253401517868042,11.982
-0.14,108,0.17157958934742834,0.005793860540760317,9838,1688,57,5.36190390586853,11.976
-0.18,51,0.18872521873961678,0.0026581016723889687,9029,1704,24,5.455890655517578,11.976
-0.16,100,0.17580808649622706,0.006870143034125464,8879,1561,61,5.308741092681885,11.982
-0.16,14,0.20195154040127178,0.003508387238241421,9121,1842,32,5.366036415100098,11.976
-0.16,65,0.16061893865097526,0.006647052413642803,9177,1474,61,5.430105686187744,11.976
-0.18,70,0.0350916911931175,0.017206248585012452,8834,310,152,5.309107542037964,11.979
-0.14,45,0.1759626130244844,0.00325104134918216,9843,1732,32,5.337585926055908,11.978
-0.18,92,0.19218277522678912,0.0032478441034830326,8929,1716,29,5.351617336273193,11.982
-0.14,66,0.1557110975857172,0.009129640900791236,9858,1535,90,5.432559967041016,11.979
-0.18,29,0.17412212033102215,0.004025944978751957,8942,1557,36,5.515656471252441,11.982
-0.14,86,0.16132007789279493,0.011991390796351337,9757,1574,117,5.369643449783325,11.979
-0.16,67,0.14740814740814742,0.012654012654012654,9009,1328,114,5.262928485870361,11.979
-0.14,71,0.11439409063685366,0.01886604112597325,10018,1146,189,5.326104164123535,11.978
-0.16,40,0.19421890224098734,0.00335606798744181,9237,1794,31,5.43387508392334,11.982
-0.14,13,0.1781609195402299,0.0035289372857430935,9918,1767,35,5.432058334350586,11.978
-0.14,36,0.18192918192918192,0.003357753357753358,9828,1788,33,5.473417043685913,11.982
-0.14,29,0.14890766694146743,0.005667765869744435,9704,1445,55,5.35123085975647,11.982
-0.16,51,0.19804208394283784,0.003263193428603578,8887,1760,29,5.559521675109863,11.982
-0.16,23,0.19973130317957905,0.0024630541871921183,8932,1784,22,5.369444131851196,11.982
-0.16,31,0.16548143131278925,0.006434134778191669,8859,1466,57,5.314695596694946,11.979
-0.16,109,0.19018884791596827,0.005587216448765225,8949,1702,50,5.414389133453369,11.982
-0.16,102,0.1434030119127894,0.021128343447965835,8898,1276,188,5.394043684005737,11.978
-0.16,12,0.19727891156462585,0.0028995204639232744,8967,1769,26,5.361295700073242,11.979
-0.18,49,0.18324782511710908,0.0031229087664510374,8966,1643,28,5.362500429153442,11.979
