tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
56,0.20639672286119426,0.00772018276351032,6347,1310,49,7.776900053024292,12.153
76,0.10929904343735299,0.0639799278657676,6377,697,408,7.757645130157471,12.15
151,0.19140320822301823,0.00903286092508955,6421,1229,58,7.833252668380737,12.15
105,0.1817614964925955,0.01652377240841777,6415,1166,106,7.682045936584473,12.154
136,0.19962686567164178,0.004819651741293532,6432,1284,31,7.806147575378418,12.146
138,0.1984547795788517,0.005302226935312832,6601,1310,35,7.975652694702148,12.151
165,0.19825474586650338,0.004133496631965708,6532,1295,27,7.79963755607605,12.149
77,0.1340912630431397,0.04251674194050771,6421,861,273,7.8456666469573975,12.151
80,0.1680786686838124,0.02465960665658094,6610,1111,163,7.7836785316467285,12.16
198,0.2070068788993761,0.0039993601023836185,6251,1294,25,7.880631446838379,12.162
39,0.18143253385544134,0.015500081579376733,6129,1112,95,7.783751010894775,12.158
25,0.1948986265533028,0.006213211249182472,6116,1192,38,7.865447044372559,12.159
123,0.19581993569131834,0.0077170418006430866,6220,1218,48,7.780948162078857,12.159
196,0.19926960939980945,0.004922197523023182,6298,1255,31,7.945867300033569,12.163
30,0.1904536115062431,0.014540856646119805,6327,1205,92,7.776583433151245,12.162
20,0.20617736029294698,0.005253940455341506,6281,1295,33,7.871429681777954,12.16
144,0.1900112053785817,0.009284456539138787,6247,1187,58,7.768274784088135,12.163
87,0.18778458156696498,0.011304757418747056,6369,1196,72,7.859955310821533,12.158
115,0.1789389067524116,0.018810289389067526,6220,1113,117,7.761104345321655,12.159
174,0.19647762158668605,0.004362578768783325,6189,1216,27,7.705464124679565,12.16
6,0.21177244327523842,0.004110489970404472,6082,1288,25,7.718560695648193,12.163
127,0.1833203429462198,0.008417770849571318,6415,1176,54,7.758407831192017,12.157
118,0.17800245098039216,0.011795343137254902,6528,1162,77,7.7465455532073975,12.164
74,0.03494580165021841,0.0956155961818476,6181,216,591,7.679636478424072,12.162
141,0.19775280898876405,0.011396468699839487,6230,1232,71,7.749986171722412,12.159
99,0.20723160242115324,0.007167887862376553,6278,1301,45,7.817044258117676,12.159
173,0.19281811085089773,0.00546448087431694,6405,1235,35,7.842685699462891,12.158
97,0.188198269079465,0.00944138473642801,6355,1196,60,7.808624744415283,12.162
170,0.204721963342653,0.005436470953712333,6438,1318,35,7.791537284851074,12.162
98,0.19970821851191442,0.010698654563138272,6169,1232,66,7.7532477378845215,12.166
32,0.1746250382614019,0.017447199265381085,6534,1141,114,7.895512342453003,12.166
13,0.20315612072927838,0.003370614371074,6527,1326,22,7.792540550231934,12.167
36,0.1490244277154709,0.03426025503149485,6509,970,223,7.768755674362183,12.17
120,0.19721115537848605,0.00796812749003984,6526,1287,52,7.853916883468628,12.166
43,0.18972517176764522,0.007963772642098688,6404,1215,51,7.855471611022949,12.171
190,0.2044127190136275,0.004866969500324465,6164,1260,30,7.760013818740845,12.17
91,0.19040223637210746,0.008231091784438578,6439,1226,53,7.954122066497803,12.17
137,0.20372507005109608,0.0065930443382231745,6067,1236,40,7.825702905654907,12.17
