tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-15,80,72,90,0.08817433900646864,0.012560447151918609,15923,1404,200,5.616887331008911,12.228
-15,80,20,90,0.11189963249271322,0.0042453427955899126,15782,1766,67,5.718233108520508,12.228
-15,250,19,260,0.08393715934594422,0.010067329272202628,15595,1309,157,6.671564817428589,12.226
-10,250,56,260,0.07970682546953733,0.009423467050585695,15281,1218,144,6.682091474533081,12.229
-15,250,66,260,0.061111486258356405,0.013370247822270242,14809,905,198,6.6204352378845215,12.222
-15,250,17,260,0.08060218491873168,0.00945909938715694,15012,1210,142,6.690490007400513,12.225
-15,600,60,610,0.03666461454271838,0.019358369245502428,14619,536,283,10.0890634059906,12.226
-15,600,23,610,0.03742821308337184,0.019011155851871412,15149,567,288,10.191467761993408,12.225
-15,80,56,90,0.10882875765356508,0.0038185529001250906,15189,1653,58,6.058799743652344,12.229
-15,250,50,260,0.07646631919245234,0.008378966814013327,15157,1159,127,6.664438486099243,12.228
-5,80,43,90,0.10059210964007717,0.004390925420797019,15031,1512,66,5.935141324996948,12.229
-10,250,79,260,0.07283106455053008,0.014992785897998871,15941,1161,239,6.79679274559021,12.226
-15,600,68,610,0.0225938781950142,0.02120542757967813,15845,358,336,10.1174156665802,12.226
-15,80,43,90,0.10899536321483771,0.0028438948995363213,16175,1763,46,6.277177333831787,12.225
-10,600,35,610,0.043919965310041505,0.017902496438084618,16143,709,289,10.163829803466797,12.225
-5,600,40,610,0.03676563487049905,0.019204042956411878,15830,582,304,10.132855653762817,12.228
-5,80,76,90,0.09386304909560723,0.015762273901808784,15480,1453,244,5.531838655471802,12.226
-5,250,52,260,0.07212721650785638,0.013314822994888622,15847,1143,211,6.617502927780151,12.23
