RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
2,289,0.04038101916783544,0.005376344086021506,17112,691,92,8.057465076446533
3,77,0.0453757225433526,0.006358381502890174,17300,785,110,8.106110572814941
0,43,0.0,0.0014794582906566519,17574,0,26,7.959811687469482
4,119,0.04424202992843201,0.00686106346483705,16907,748,116,8.062565326690674
3,203,0.053482867448151485,0.005917493237150586,17744,949,105,8.04048466682434
4,33,0.03164154974305676,0.0041572839078468735,17319,548,72,8.062854766845703
4,219,0.055249589875790955,0.005800328099367237,17068,943,99,8.041211366653442
0,123,0.0002891008962127783,0.002023706273489448,17295,5,35,8.007475137710571
0,102,0.0006245386930108442,0.0019303923238517004,17613,11,34,8.036257266998291
2,172,0.040221509763917224,0.004721655494025066,17155,690,81,8.078786611557007
0,46,0.0,0.002118270079435128,16995,0,36,7.947734832763672
3,34,0.045557950191570884,0.005507662835249042,16704,761,92,7.998508930206299
4,166,0.04513888888888889,0.006076388888888889,17280,780,105,8.161888837814331
1,112,0.011490189146190561,0.0035943668611160213,16971,195,61,7.964727401733398
6,1,0.060735150925024343,0.00748539435248296,16432,998,123,8.06381630897522
6,137,0.053479223014507006,0.0082370297516597,16268,870,134,8.04494333267212
3,234,0.0505804311774461,0.005863539445628998,16884,854,99,8.081557273864746
0,293,0.0007108162539983414,0.0015993365714962683,16882,12,27,7.959360599517822
0,178,0.0007017954266331364,0.001286624948827417,17099,12,22,7.939814805984497
0,69,0.00017713745866792632,0.001889466225791214,16936,3,32,7.866107225418091
6,155,0.05459371418230078,0.006756349158472582,16577,905,112,8.144356966018677
6,58,0.052313145511214326,0.007700299456089959,16363,856,126,8.064238786697388
4,187,0.05411959543384397,0.00768912284852428,16907,915,130,8.06284236907959
2,288,0.03765122455001475,0.004898200059014458,16945,638,83,8.011147260665894
2,140,0.024149222313179744,0.0036837796748918255,17102,413,63,8.056071996688843
2,97,0.0363400789733465,0.004442250740375123,16208,589,72,8.025402069091797
