no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
1000,12.15,0.17234468937875752,0.012024048096192385,499,86,6,0.8919436931610107
22000,12.15,0.19266686326550672,0.012090828664110882,10173,1960,123,10.474253416061401
22000,12.151,0.19394706111327364,0.010315297781237836,10276,1993,106,10.440053224563599
3000,12.15,0.18994778067885118,0.012402088772845953,1532,291,19,1.7036099433898926
1500,12.148,0.1882998171846435,0.016453382084095063,547,103,9,1.0930027961730957
12000,12.15,0.2001073921603723,0.01306604617862896,5587,1118,73,5.864548921585083
10000,12.153,0.1945010183299389,0.01120162932790224,4910,955,55,4.999243497848511
4000,12.151,0.1895,0.008,2000,379,16,2.2317512035369873
22000,12.152,0.2003771337832473,0.009130607383882492,10076,2019,92,10.44010877609253
10000,12.15,0.18897986280150475,0.013719849524231024,4519,854,62,4.906126022338867
3000,12.153,0.1878031878031878,0.009702009702009701,1443,271,14,1.7527592182159424
3000,12.151,0.20457604306864063,0.014131897711978465,1486,304,21,1.7666361331939697
10000,12.153,0.19407823643829694,0.009941646855413875,4627,898,46,4.901026725769043
22000,12.148,0.20453829183737787,0.010820464334488918,9519,1947,103,10.433432340621948
1000,12.148,0.22317596566523606,0.01072961373390558,466,104,5,0.8437910079956055
40000,12.148,0.1975438596491228,0.011111111111111112,17100,3378,190,18.791438341140747
30000,12.153,0.1994718036352338,0.010020195743358707,12874,2568,129,14.160911798477173
40000,12.148,0.19750341997264023,0.00980392156862745,17544,3465,172,18.75550365447998
15000,12.153,0.19361513449600945,0.01019804906887378,6766,1310,69,7.274298906326294
30000,12.148,0.19445490846078506,0.010020342047766142,13273,2581,133,14.207086324691772
10000,12.152,0.20031159581571334,0.007789895392833296,4493,900,35,4.924182891845703
22000,12.146,0.20030503304524658,0.011591255719369599,9835,1970,114,10.422510862350464
15000,12.146,0.19307077287533314,0.010808409831211134,6754,1304,73,7.2700042724609375
1000,12.153,0.175704989154013,0.0021691973969631237,461,81,1,0.8643012046813965
1500,12.144,0.19019607843137254,0.011764705882352941,510,97,6,1.0273687839508057
60000,12.15,0.19831126463250814,0.011091920936480522,26055,5167,289,27.948014497756958
6000,12.15,0.18421052631578946,0.01367053998632946,2926,539,40,3.1652991771698
60000,12.148,0.204203013481364,0.01007137192704203,25220,5150,254,27.97995686531067
6000,12.138,0.19589485055815628,0.012603528988116673,2777,544,35,3.0835797786712646
6000,12.141,0.20170559881349648,0.008898776418242492,2697,544,24,3.0866851806640625
8000,12.137,0.19665386725178277,0.012890839275918815,3646,717,47,4.150954008102417
4000,12.137,0.19796137339055794,0.006974248927038627,1864,369,13,2.1771674156188965
3000,12.141,0.18838622552329506,0.00675219446320054,1481,279,10,1.7375400066375732
15000,12.138,0.1996779388083736,0.011418533157663592,6831,1364,78,7.254778146743774
1500,12.135,0.1957894736842105,0.00631578947368421,475,93,3,1.1035728454589844
1000,12.141,0.166351606805293,0.011342155009451797,529,88,6,0.8296329975128174
