group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,candidate_idx,ok,r2,aicc,nfev,hit_max_nfev,ier,is_stage_best,is_segment_selected,init_new_mu,init_mu_norm
0,-0.5,lost,right,6,69,10,1,0.9002340871807334,-1709.7395993010512,33,0,1,0,0,82.0,0.14705882352941177
0,-0.5,lost,right,6,69,11,1,0.9002340876413758,-1709.739599933612,42,0,1,0,0,83.0,0.16176470588235295
0,-0.5,lost,right,6,69,12,1,0.8975078375298106,-1706.0461119217907,21,0,1,0,0,84.0,0.17647058823529413
0,-0.5,lost,right,6,69,13,1,0.900234087266064,-1709.7395994182284,29,0,1,0,0,85.0,0.19117647058823528
0,-0.5,lost,right,6,69,14,1,0.9002340869443047,-1709.7395989763838,37,0,1,0,0,86.0,0.20588235294117646
0,-0.5,lost,right,6,69,15,1,0.9002340877503324,-1709.7396000832327,31,0,1,0,0,87.0,0.22058823529411764
0,-0.5,lost,right,6,69,16,1,0.9002340702874259,-1709.739576102918,21,0,1,0,0,88.0,0.23529411764705882
0,-0.5,lost,right,6,69,17,1,0.9002340869369833,-1709.7395989663298,24,0,1,0,0,89.0,0.25
0,-0.5,lost,right,6,69,18,1,0.900234087088664,-1709.7395991746203,26,0,1,0,0,90.0,0.2647058823529412
0,-0.5,lost,right,6,69,19,1,0.9002340876697582,-1709.739599972587,22,0,1,0,0,91.0,0.27941176470588236
0,-0.5,lost,right,6,69,20,1,0.9002340867985169,-1709.7395987761859,21,0,1,0,0,92.0,0.29411764705882354
0,-0.5,lost,right,6,69,21,1,0.9002340871738317,-1709.7395992915735,29,0,1,0,0,93.0,0.3088235294117647
0,-0.5,lost,right,6,69,22,1,0.9002340837607841,-1709.7395946047272,26,0,1,0,0,94.0,0.3235294117647059
0,-0.5,lost,right,6,69,23,1,0.9002340856969344,-1709.7395972634768,28,0,1,0,0,95.0,0.3382352941176471
0,-0.5,lost,right,6,69,24,1,0.9002340857936141,-1709.7395973962387,30,0,1,0,0,96.0,0.35294117647058826
0,-0.5,lost,right,6,69,25,1,0.9002340850848631,-1709.7395964229718,22,0,1,0,0,97.0,0.36764705882352944
0,-0.5,lost,right,6,69,26,1,0.9002340874443587,-1709.7395996630653,30,0,1,0,0,98.0,0.38235294117647056
0,-0.5,lost,right,6,69,27,1,0.9133349685361317,-1729.0259243999308,19,0,1,0,0,99.0,0.39705882352941174
0,-0.5,lost,right,6,69,28,1,0.9133349663390405,-1729.0259209267713,16,0,1,0,0,100.0,0.4117647058823529
0,-0.5,lost,right,6,69,29,1,0.9133349683081273,-1729.0259240395017,18,0,1,0,0,101.0,0.4264705882352941
0,-0.5,lost,right,6,69,30,1,0.9133349683095633,-1729.0259240417715,16,0,1,0,0,102.0,0.4411764705882353
0,-0.5,lost,right,6,69,31,1,0.9133349678952503,-1729.025923386826,15,0,1,0,0,103.0,0.45588235294117646
0,-0.5,lost,right,6,69,32,1,0.9133349673976112,-1729.0259226001588,17,0,1,0,0,104.0,0.47058823529411764
0,-0.5,lost,right,6,69,33,1,0.9133349684249725,-1729.0259242242105,17,0,1,0,0,105.0,0.4852941176470588
0,-0.5,lost,right,6,69,34,1,0.9133349673399185,-1729.025922508958,20,0,1,0,0,106.0,0.5
0,-0.5,lost,right,6,69,35,1,0.9133349684356414,-1729.025924241076,14,0,1,0,0,107.0,0.5147058823529411
0,-0.5,lost,right,6,69,36,1,0.8997763919481037,-1709.1125228815245,26,0,1,0,0,108.0,0.5294117647058824
0,-0.5,lost,right,6,69,37,1,0.8997763910786933,-1709.1125216930895,91,0,1,0,0,109.0,0.5441176470588235
0,-0.5,lost,right,6,69,38,1,0.8997763914212638,-1709.1125221613643,35,0,1,0,0,110.0,0.5588235294117647
0,-0.5,lost,right,6,69,39,1,0.89977639163344,-1709.1125224513971,76,0,1,0,0,111.0,0.5735294117647058
0,-0.5,lost,right,6,69,40,1,0.8997763912356513,-1709.1125219076425,69,0,1,0,0,112.0,0.5882352941176471
0,-0.5,lost,right,6,69,41,1,0.897725760882058,-1706.3377174810832,11,0,1,0,0,113.0,0.6029411764705882
0,-0.5,lost,right,6,69,42,1,0.8977257610027198,-1706.337717642714,16,0,1,0,0,114.0,0.6176470588235294
0,-0.5,lost,right,6,69,43,1,0.8997763913425371,-1709.112522053749,59,0,1,0,0,115.0,0.6323529411764706
