Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.15,0.05,0.0849999999999999,500,6000,11.836,0.07465154736593432,0.014410583510512638,4233,316,61,7.553465843200684
-0.15,0.05,0.0849999999999999,1800,20000,11.834,0.006259226454089164,0.012636551520519634,16935,106,214,46.945045948028564
-0.15,0.05,0.0849999999999999,1500,16000,11.836,0.010988172453262115,0.0149561236169401,13105,144,196,33.18586254119873
-0.15,0.05,0.0849999999999999,600,7000,11.833,0.0572,0.014,5000,286,70,9.08724069595337
-0.15,0.05,0.0849999999999999,300,5000,11.832,0.0870488322717622,0.011828935395814377,3297,287,39,5.64244270324707
-0.15,0.05,0.0849999999999999,1000,10000,11.834,0.028933092224231464,0.013174890209248256,7742,224,102,16.344207048416138
-0.2834015884999999,0.0,0.025,1000,10000,11.847,0.025075384859546104,0.0019044596095857801,6301,158,12,16.486550331115723
-0.2834015884999999,0.0,0.025,1800,20000,11.846,0.0031764366156511693,0.002165752237943979,13852,44,30,47.086186170578
-0.2834015884999999,0.0,0.025,1500,16000,11.85,0.008922701230393537,0.0021602329294636985,10647,95,23,33.22088623046875
-0.2834015884999999,0.0,0.025,300,5000,11.84,0.09828904259191845,0.0018201674554058974,2747,270,5,5.690317869186401
-0.2834015884999999,0.0,0.025,800,8000,11.846,0.032599837000814993,0.0018337408312958435,4908,160,9,11.930940866470337
-0.2834015884999999,0.0,0.025,1200,12000,11.842,0.014575003224558236,0.002192699600154779,7753,113,17,21.685667514801025
-0.2834015884999999,0.0,0.025,600,7000,11.846,0.04824242424242424,0.001696969696969697,4125,199,7,9.179554462432861
-0.2834015884999999,0.0,0.025,500,6000,11.843,0.060481503229594835,0.002935995302407516,3406,206,10,7.6481146812438965
-0.1165984115,0.0,0.025,1200,12000,11.843,0.020138157124458496,0.014518206299028218,8541,172,124,21.744645595550537
-0.1165984115,0.0,0.025,600,7000,11.839,0.05267721656189031,0.011489269455885541,4613,243,53,9.208445310592651
-0.1165984115,0.0,0.025,1500,16000,11.84,0.0091324200913242,0.011669203450025367,11826,108,138,33.2234570980072
-0.1165984115,0.0,0.025,1800,20000,11.84,0.004984914075823166,0.012527876164239801,15246,76,191,47.02498173713684
-0.1165984115,0.0,0.025,1000,10000,11.84,0.027944969905417026,0.011464603038119804,6978,195,80,16.39031958580017
-0.1165984115,0.0,0.025,500,6000,11.842,0.062677327830797,0.011091049780758318,3877,243,43,7.570285081863403
-0.1165984115,0.0,0.025,300,5000,11.839,0.08341202392193893,0.012275731822474031,3177,265,39,5.688756942749023
-0.1165984115,0.0,0.025,800,8000,11.842,0.03777335984095427,0.013916500994035786,5533,209,77,11.909045219421387
-0.2,0.0,0.025,800,8000,11.839,0.054559475612107194,0.010410641989589358,5187,283,54,11.963651180267334
-0.2,0.0,0.025,500,6000,11.84,0.08011126564673157,0.011682892906815021,3595,288,42,7.721947193145752
-0.2,0.0,0.025,1000,10000,11.844,0.0354814253222138,0.009855951478392721,6595,234,65,16.380106449127197
-0.2,0.0,0.025,300,5000,11.842,0.10708176530961341,0.011973999315771467,2923,313,35,5.591769218444824
-0.2,0.0,0.025,1200,12000,11.843,0.025095147478591817,0.011298763082778307,8408,211,95,21.7828152179718
-0.2,0.0,0.025,600,7000,11.843,0.06999544003647971,0.013451892384860921,4386,307,59,9.274902105331421
-0.2,0.0,0.025,1800,20000,11.842,0.009548369110677446,0.010942291608586563,14348,137,157,47.0071234703064
-0.2,0.0,0.025,1500,16000,11.84,0.015696887686062245,0.009111411817771763,11085,174,101,33.1587028503418
-0.2,0.0,-0.0750819060799999,1500,16000,11.84,0.011920665913061351,0.011098551022505395,9731,116,108,33.293198108673096
-0.2,0.0,-0.0750819060799999,600,7000,11.838,0.06914478814660775,0.014036911879386535,3847,266,54,9.257895708084106
-0.2,0.0,-0.0750819060799999,800,8000,11.839,0.04095112285336856,0.011008366358432409,4542,186,50,11.871186017990112
-0.2,0.0,-0.0750819060799999,300,5000,11.835,0.09838709677419355,0.011693548387096775,2480,244,29,5.603939771652222
-0.2,0.0,-0.0750819060799999,1000,10000,11.836,0.03241852487135506,0.014408233276157804,5830,189,84,16.427956581115723
